Tournament,Stage,Match Type,Match Name,Team A,Team B,Team A Score,Team B Score,Match Result
VCT 2025: Americas Stage 1completedStatusTBDPrize PoolMar 21—May 3DatesRegion,,,"VCT 2025: Americas Stage 1 Playoffs: 
						Upper Final",MIBR,Sentinels,0,0,MIBR 0-0 Sentinels
VCT 2025: Americas Stage 1completedStatusTBDPrize PoolMar 21—May 3DatesRegion,,,"VCT 2025: Americas Stage 1 Playoffs: 
						Grand Final",Sentinels,G2 Esports,1,0,Sentinels 1-0 G2 Esports
VCT 2025: Americas Stage 1completedStatusTBDPrize PoolMar 21—May 3DatesRegion,,,"VCT 2025: Americas Stage 1 Playoffs: 
						Lower Round 1",100 Thieves,NRG,2,0,100 Thieves 2-0 NRG
VCT 2025: Americas Stage 1completedStatusTBDPrize PoolMar 21—May 3DatesRegion,,,"VCT 2025: Americas Stage 1 Playoffs: 
						Lower Round 1",Cloud9,Evil Geniuses,0,0,Cloud9 0-0 Evil Geniuses
VCT 2025: Americas Stage 1completedStatusTBDPrize PoolMar 21—May 3DatesRegion,,,"VCT 2025: Americas Stage 1 Playoffs: 
						Lower Round 2",G2 Esports,100 Thieves,2,0,G2 Esports 2-0 100 Thieves
VCT 2025: Americas Stage 1completedStatusTBDPrize PoolMar 21—May 3DatesRegion,,,"VCT 2025: Americas Stage 1 Playoffs: 
						Lower Round 2",VISA KRÜ(KRÜ Esports),Evil Geniuses,0,0,VISA KRÜ(KRÜ Esports) 0-0 Evil Geniuses
VCT 2025: Americas Stage 1completedStatusTBDPrize PoolMar 21—May 3DatesRegion,,,"VCT 2025: Americas Stage 1 Playoffs: 
						Lower Round 3",G2 Esports,Evil Geniuses,2,0,G2 Esports 2-0 Evil Geniuses
VCT 2025: Americas Stage 1completedStatusTBDPrize PoolMar 21—May 3DatesRegion,,,"VCT 2025: Americas Stage 1 Playoffs: 
						Lower Final",MIBR,G2 Esports,1,0,MIBR 1-0 G2 Esports
"Valorant Masters Bangkok 2025completedStatus$500,000Prize PoolFeb 20—Mar 2DatesRegion",,,"Valorant Masters Bangkok 2025 Playoffs: 
						Upper Semifinals",EDward Gaming,T1,2,0,EDward Gaming 2-0 T1
"Valorant Masters Bangkok 2025completedStatus$500,000Prize PoolFeb 20—Mar 2DatesRegion",,,"Valorant Masters Bangkok 2025 Playoffs: 
						Upper Semifinals",Team Vitality,G2 Esports,0,0,Team Vitality 0-0 G2 Esports
"Valorant Masters Bangkok 2025completedStatus$500,000Prize PoolFeb 20—Mar 2DatesRegion",,,"Valorant Masters Bangkok 2025 Playoffs: 
						Upper Final",EDward Gaming,G2 Esports,0,0,EDward Gaming 0-0 G2 Esports
"Valorant Masters Bangkok 2025completedStatus$500,000Prize PoolFeb 20—Mar 2DatesRegion",,,"Valorant Masters Bangkok 2025 Playoffs: 
						Grand Final",G2 Esports,T1,2,0,G2 Esports 2-0 T1
"Valorant Masters Bangkok 2025completedStatus$500,000Prize PoolFeb 20—Mar 2DatesRegion",,,"Valorant Masters Bangkok 2025 Playoffs: 
						Lower Round 1",T1,Team Vitality,2,0,T1 2-0 Team Vitality
"Valorant Masters Bangkok 2025completedStatus$500,000Prize PoolFeb 20—Mar 2DatesRegion",,,"Valorant Masters Bangkok 2025 Playoffs: 
						Lower Final",EDward Gaming,T1,1,0,EDward Gaming 1-0 T1
VCT 2025: EMEA KickoffcompletedStatus$0Prize PoolJan 14—Feb 10DatesRegion,,,"VCT 2025: EMEA Kickoff Main Event: 
						Upper Round 1",Team Liquid,Movistar KOI(KOI),2,0,Team Liquid 2-0 Movistar KOI(KOI)
VCT 2025: EMEA KickoffcompletedStatus$0Prize PoolJan 14—Feb 10DatesRegion,,,"VCT 2025: EMEA Kickoff Main Event: 
						Upper Round 1",Karmine Corp,Natus Vincere,2,0,Karmine Corp 2-0 Natus Vincere
VCT 2025: EMEA KickoffcompletedStatus$0Prize PoolJan 14—Feb 10DatesRegion,,,"VCT 2025: EMEA Kickoff Main Event: 
						Upper Round 1",BBL Esports,GIANTX,2,0,BBL Esports 2-0 GIANTX
VCT 2025: EMEA KickoffcompletedStatus$0Prize PoolJan 14—Feb 10DatesRegion,,,"VCT 2025: EMEA Kickoff Main Event: 
						Upper Round 1",Apeks,Gentle Mates,0,0,Apeks 0-0 Gentle Mates
VCT 2025: EMEA KickoffcompletedStatus$0Prize PoolJan 14—Feb 10DatesRegion,,,"VCT 2025: EMEA Kickoff Main Event: 
						Upper Quarterfinals",FUT Esports,Team Liquid,2,0,FUT Esports 2-0 Team Liquid
VCT 2025: EMEA KickoffcompletedStatus$0Prize PoolJan 14—Feb 10DatesRegion,,,"VCT 2025: EMEA Kickoff Main Event: 
						Upper Quarterfinals",Team Vitality,Karmine Corp,2,0,Team Vitality 2-0 Karmine Corp
VCT 2025: EMEA KickoffcompletedStatus$0Prize PoolJan 14—Feb 10DatesRegion,,,"VCT 2025: EMEA Kickoff Main Event: 
						Upper Quarterfinals",FNATIC,BBL Esports,1,0,FNATIC 1-0 BBL Esports
VCT 2025: EMEA KickoffcompletedStatus$0Prize PoolJan 14—Feb 10DatesRegion,,,"VCT 2025: EMEA Kickoff Main Event: 
						Upper Quarterfinals",Team Heretics,Gentle Mates,2,0,Team Heretics 2-0 Gentle Mates
VCT 2025: EMEA KickoffcompletedStatus$0Prize PoolJan 14—Feb 10DatesRegion,,,"VCT 2025: EMEA Kickoff Main Event: 
						Upper Semifinals",FUT Esports,Team Vitality,0,0,FUT Esports 0-0 Team Vitality
VCT 2025: EMEA KickoffcompletedStatus$0Prize PoolJan 14—Feb 10DatesRegion,,,"VCT 2025: EMEA Kickoff Main Event: 
						Upper Semifinals",BBL Esports,Team Heretics,0,0,BBL Esports 0-0 Team Heretics
VCT 2025: EMEA KickoffcompletedStatus$0Prize PoolJan 14—Feb 10DatesRegion,,,"VCT 2025: EMEA Kickoff Main Event: 
						Upper Final",Team Vitality,Team Heretics,2,0,Team Vitality 2-0 Team Heretics
VCT 2025: EMEA KickoffcompletedStatus$0Prize PoolJan 14—Feb 10DatesRegion,,,"VCT 2025: EMEA Kickoff Main Event: 
						Grand Final",Team Vitality,Team Liquid,3,0,Team Vitality 3-0 Team Liquid
VCT 2025: EMEA KickoffcompletedStatus$0Prize PoolJan 14—Feb 10DatesRegion,,,"VCT 2025: EMEA Kickoff Main Event: 
						Lower Round 1",Gentle Mates,Movistar KOI(KOI),2,0,Gentle Mates 2-0 Movistar KOI(KOI)
VCT 2025: EMEA KickoffcompletedStatus$0Prize PoolJan 14—Feb 10DatesRegion,,,"VCT 2025: EMEA Kickoff Main Event: 
						Lower Round 1",FNATIC,Natus Vincere,2,0,FNATIC 2-0 Natus Vincere
VCT 2025: EMEA KickoffcompletedStatus$0Prize PoolJan 14—Feb 10DatesRegion,,,"VCT 2025: EMEA Kickoff Main Event: 
						Lower Round 1",Karmine Corp,GIANTX,1,0,Karmine Corp 1-0 GIANTX
VCT 2025: EMEA KickoffcompletedStatus$0Prize PoolJan 14—Feb 10DatesRegion,,,"VCT 2025: EMEA Kickoff Main Event: 
						Lower Round 1",Team Liquid,Apeks,2,0,Team Liquid 2-0 Apeks
VCT 2025: EMEA KickoffcompletedStatus$0Prize PoolJan 14—Feb 10DatesRegion,,,"VCT 2025: EMEA Kickoff Main Event: 
						Lower Round 2",Gentle Mates,FNATIC,0,0,Gentle Mates 0-0 FNATIC
VCT 2025: EMEA KickoffcompletedStatus$0Prize PoolJan 14—Feb 10DatesRegion,,,"VCT 2025: EMEA Kickoff Main Event: 
						Lower Round 2",GIANTX,Team Liquid,0,0,GIANTX 0-0 Team Liquid
VCT 2025: EMEA KickoffcompletedStatus$0Prize PoolJan 14—Feb 10DatesRegion,,,"VCT 2025: EMEA Kickoff Main Event: 
						Lower Round 3",FUT Esports,FNATIC,2,0,FUT Esports 2-0 FNATIC
VCT 2025: EMEA KickoffcompletedStatus$0Prize PoolJan 14—Feb 10DatesRegion,,,"VCT 2025: EMEA Kickoff Main Event: 
						Lower Round 3",BBL Esports,Team Liquid,1,0,BBL Esports 1-0 Team Liquid
VCT 2025: EMEA KickoffcompletedStatus$0Prize PoolJan 14—Feb 10DatesRegion,,,"VCT 2025: EMEA Kickoff Main Event: 
						Lower Round 4",FUT Esports,Team Liquid,1,0,FUT Esports 1-0 Team Liquid
VCT 2025: EMEA KickoffcompletedStatus$0Prize PoolJan 14—Feb 10DatesRegion,,,"VCT 2025: EMEA Kickoff Main Event: 
						Lower Final",Team Heretics,Team Liquid,0,0,Team Heretics 0-0 Team Liquid
"VCT 2025: Pacific KickoffcompletedStatus$250,000Prize PoolJan 17—Feb 9DatesRegion",,,"VCT 2025: Pacific Kickoff Main Event: 
						Upper Round 1",BOOM Esports,T1,1,0,BOOM Esports 1-0 T1
"VCT 2025: Pacific KickoffcompletedStatus$250,000Prize PoolJan 17—Feb 9DatesRegion",,,"VCT 2025: Pacific Kickoff Main Event: 
						Upper Round 1",Global Esports,Team Secret,2,0,Global Esports 2-0 Team Secret
"VCT 2025: Pacific KickoffcompletedStatus$250,000Prize PoolJan 17—Feb 9DatesRegion",,,"VCT 2025: Pacific Kickoff Main Event: 
						Upper Round 1",DetonatioN FocusMe,Rex Regum Qeon,1,0,DetonatioN FocusMe 1-0 Rex Regum Qeon
"VCT 2025: Pacific KickoffcompletedStatus$250,000Prize PoolJan 17—Feb 9DatesRegion",,,"VCT 2025: Pacific Kickoff Main Event: 
						Upper Round 1",ZETA DIVISION,Nongshim RedForce,0,0,ZETA DIVISION 0-0 Nongshim RedForce
"VCT 2025: Pacific KickoffcompletedStatus$250,000Prize PoolJan 17—Feb 9DatesRegion",,,"VCT 2025: Pacific Kickoff Main Event: 
						Upper Quarterfinals",Paper Rex,T1,1,0,Paper Rex 1-0 T1
"VCT 2025: Pacific KickoffcompletedStatus$250,000Prize PoolJan 17—Feb 9DatesRegion",,,"VCT 2025: Pacific Kickoff Main Event: 
						Upper Quarterfinals",TALON,Global Esports,2,0,TALON 2-0 Global Esports
"VCT 2025: Pacific KickoffcompletedStatus$250,000Prize PoolJan 17—Feb 9DatesRegion",,,"VCT 2025: Pacific Kickoff Main Event: 
						Upper Quarterfinals",Gen.G,Rex Regum Qeon,2,0,Gen.G 2-0 Rex Regum Qeon
"VCT 2025: Pacific KickoffcompletedStatus$250,000Prize PoolJan 17—Feb 9DatesRegion",,,"VCT 2025: Pacific Kickoff Main Event: 
						Upper Quarterfinals",DRX,Nongshim RedForce,2,0,DRX 2-0 Nongshim RedForce
"VCT 2025: Pacific KickoffcompletedStatus$250,000Prize PoolJan 17—Feb 9DatesRegion",,,"VCT 2025: Pacific Kickoff Main Event: 
						Upper Semifinals",T1,TALON,2,0,T1 2-0 TALON
"VCT 2025: Pacific KickoffcompletedStatus$250,000Prize PoolJan 17—Feb 9DatesRegion",,,"VCT 2025: Pacific Kickoff Main Event: 
						Upper Semifinals",Gen.G,DRX,0,0,Gen.G 0-0 DRX
"VCT 2025: Pacific KickoffcompletedStatus$250,000Prize PoolJan 17—Feb 9DatesRegion",,,"VCT 2025: Pacific Kickoff Main Event: 
						Upper Final",T1,DRX,1,0,T1 1-0 DRX
"VCT 2025: Pacific KickoffcompletedStatus$250,000Prize PoolJan 17—Feb 9DatesRegion",,,"VCT 2025: Pacific Kickoff Main Event: 
						Grand Final",DRX,T1,3,0,DRX 3-0 T1
"VCT 2025: Pacific KickoffcompletedStatus$250,000Prize PoolJan 17—Feb 9DatesRegion",,,"VCT 2025: Pacific Kickoff Main Event: 
						Lower Round 1",Nongshim RedForce,BOOM Esports,2,0,Nongshim RedForce 2-0 BOOM Esports
"VCT 2025: Pacific KickoffcompletedStatus$250,000Prize PoolJan 17—Feb 9DatesRegion",,,"VCT 2025: Pacific Kickoff Main Event: 
						Lower Round 1",Rex Regum Qeon,Team Secret,2,0,Rex Regum Qeon 2-0 Team Secret
"VCT 2025: Pacific KickoffcompletedStatus$250,000Prize PoolJan 17—Feb 9DatesRegion",,,"VCT 2025: Pacific Kickoff Main Event: 
						Lower Round 1",Global Esports,DetonatioN FocusMe,0,0,Global Esports 0-0 DetonatioN FocusMe
"VCT 2025: Pacific KickoffcompletedStatus$250,000Prize PoolJan 17—Feb 9DatesRegion",,,"VCT 2025: Pacific Kickoff Main Event: 
						Lower Round 1",Paper Rex,ZETA DIVISION,2,0,Paper Rex 2-0 ZETA DIVISION
"VCT 2025: Pacific KickoffcompletedStatus$250,000Prize PoolJan 17—Feb 9DatesRegion",,,"VCT 2025: Pacific Kickoff Main Event: 
						Lower Round 2",Nongshim RedForce,Rex Regum Qeon,2,0,Nongshim RedForce 2-0 Rex Regum Qeon
"VCT 2025: Pacific KickoffcompletedStatus$250,000Prize PoolJan 17—Feb 9DatesRegion",,,"VCT 2025: Pacific Kickoff Main Event: 
						Lower Round 2",DetonatioN FocusMe,Paper Rex,2,0,DetonatioN FocusMe 2-0 Paper Rex
"VCT 2025: Pacific KickoffcompletedStatus$250,000Prize PoolJan 17—Feb 9DatesRegion",,,"VCT 2025: Pacific Kickoff Main Event: 
						Lower Round 3",TALON,Nongshim RedForce,2,0,TALON 2-0 Nongshim RedForce
"VCT 2025: Pacific KickoffcompletedStatus$250,000Prize PoolJan 17—Feb 9DatesRegion",,,"VCT 2025: Pacific Kickoff Main Event: 
						Lower Round 3",Gen.G,DetonatioN FocusMe,2,0,Gen.G 2-0 DetonatioN FocusMe
"VCT 2025: Pacific KickoffcompletedStatus$250,000Prize PoolJan 17—Feb 9DatesRegion",,,"VCT 2025: Pacific Kickoff Main Event: 
						Lower Round 4",TALON,Gen.G,0,0,TALON 0-0 Gen.G
"VCT 2025: Pacific KickoffcompletedStatus$250,000Prize PoolJan 17—Feb 9DatesRegion",,,"VCT 2025: Pacific Kickoff Main Event: 
						Lower Final",T1,Gen.G,3,0,T1 3-0 Gen.G
VCT 2025: Americas KickoffcompletedStatus$0Prize PoolJan 16—Feb 8DatesRegion,,,"VCT 2025: Americas Kickoff Main Event: 
						Upper Round 1",Evil Geniuses,LOUD,0,0,Evil Geniuses 0-0 LOUD
VCT 2025: Americas KickoffcompletedStatus$0Prize PoolJan 16—Feb 8DatesRegion,,,"VCT 2025: Americas Kickoff Main Event: 
						Upper Round 1",MIBR,100 Thieves,0,0,MIBR 0-0 100 Thieves
VCT 2025: Americas KickoffcompletedStatus$0Prize PoolJan 16—Feb 8DatesRegion,,,"VCT 2025: Americas Kickoff Main Event: 
						Upper Round 1",NRG,Cloud9,0,0,NRG 0-0 Cloud9
VCT 2025: Americas KickoffcompletedStatus$0Prize PoolJan 16—Feb 8DatesRegion,,,"VCT 2025: Americas Kickoff Main Event: 
						Upper Round 1",2Game Esports,FURIA,0,0,2Game Esports 0-0 FURIA
VCT 2025: Americas KickoffcompletedStatus$0Prize PoolJan 16—Feb 8DatesRegion,,,"VCT 2025: Americas Kickoff Main Event: 
						Upper Quarterfinals",KRÜ Esports,LOUD,0,0,KRÜ Esports 0-0 LOUD
VCT 2025: Americas KickoffcompletedStatus$0Prize PoolJan 16—Feb 8DatesRegion,,,"VCT 2025: Americas Kickoff Main Event: 
						Upper Quarterfinals",Sentinels,100 Thieves,2,0,Sentinels 2-0 100 Thieves
VCT 2025: Americas KickoffcompletedStatus$0Prize PoolJan 16—Feb 8DatesRegion,,,"VCT 2025: Americas Kickoff Main Event: 
						Upper Quarterfinals",G2 Esports,Cloud9,2,0,G2 Esports 2-0 Cloud9
VCT 2025: Americas KickoffcompletedStatus$0Prize PoolJan 16—Feb 8DatesRegion,,,"VCT 2025: Americas Kickoff Main Event: 
						Upper Quarterfinals",LEVIATÁN,FURIA,2,0,LEVIATÁN 2-0 FURIA
VCT 2025: Americas KickoffcompletedStatus$0Prize PoolJan 16—Feb 8DatesRegion,,,"VCT 2025: Americas Kickoff Main Event: 
						Upper Semifinals",LOUD,Sentinels,1,0,LOUD 1-0 Sentinels
VCT 2025: Americas KickoffcompletedStatus$0Prize PoolJan 16—Feb 8DatesRegion,,,"VCT 2025: Americas Kickoff Main Event: 
						Upper Semifinals",G2 Esports,LEVIATÁN,2,0,G2 Esports 2-0 LEVIATÁN
VCT 2025: Americas KickoffcompletedStatus$0Prize PoolJan 16—Feb 8DatesRegion,,,"VCT 2025: Americas Kickoff Main Event: 
						Upper Final",Sentinels,G2 Esports,0,0,Sentinels 0-0 G2 Esports
VCT 2025: Americas KickoffcompletedStatus$0Prize PoolJan 16—Feb 8DatesRegion,,,"VCT 2025: Americas Kickoff Main Event: 
						Grand Final",G2 Esports,Sentinels,3,0,G2 Esports 3-0 Sentinels
VCT 2025: Americas KickoffcompletedStatus$0Prize PoolJan 16—Feb 8DatesRegion,,,"VCT 2025: Americas Kickoff Main Event: 
						Lower Round 1",FURIA,Evil Geniuses,0,0,FURIA 0-0 Evil Geniuses
VCT 2025: Americas KickoffcompletedStatus$0Prize PoolJan 16—Feb 8DatesRegion,,,"VCT 2025: Americas Kickoff Main Event: 
						Lower Round 1",Cloud9,MIBR,1,0,Cloud9 1-0 MIBR
VCT 2025: Americas KickoffcompletedStatus$0Prize PoolJan 16—Feb 8DatesRegion,,,"VCT 2025: Americas Kickoff Main Event: 
						Lower Round 1",100 Thieves,NRG,1,0,100 Thieves 1-0 NRG
VCT 2025: Americas KickoffcompletedStatus$0Prize PoolJan 16—Feb 8DatesRegion,,,"VCT 2025: Americas Kickoff Main Event: 
						Lower Round 1",KRÜ Esports,2Game Esports,2,0,KRÜ Esports 2-0 2Game Esports
VCT 2025: Americas KickoffcompletedStatus$0Prize PoolJan 16—Feb 8DatesRegion,,,"VCT 2025: Americas Kickoff Main Event: 
						Lower Round 2",Evil Geniuses,MIBR,0,0,Evil Geniuses 0-0 MIBR
VCT 2025: Americas KickoffcompletedStatus$0Prize PoolJan 16—Feb 8DatesRegion,,,"VCT 2025: Americas Kickoff Main Event: 
						Lower Round 2",NRG,KRÜ Esports,1,0,NRG 1-0 KRÜ Esports
VCT 2025: Americas KickoffcompletedStatus$0Prize PoolJan 16—Feb 8DatesRegion,,,"VCT 2025: Americas Kickoff Main Event: 
						Lower Round 3",LEVIATÁN,MIBR,1,0,LEVIATÁN 1-0 MIBR
VCT 2025: Americas KickoffcompletedStatus$0Prize PoolJan 16—Feb 8DatesRegion,,,"VCT 2025: Americas Kickoff Main Event: 
						Lower Round 3",LOUD,KRÜ Esports,0,0,LOUD 0-0 KRÜ Esports
VCT 2025: Americas KickoffcompletedStatus$0Prize PoolJan 16—Feb 8DatesRegion,,,"VCT 2025: Americas Kickoff Main Event: 
						Lower Round 4",MIBR,KRÜ Esports,2,0,MIBR 2-0 KRÜ Esports
VCT 2025: Americas KickoffcompletedStatus$0Prize PoolJan 16—Feb 8DatesRegion,,,"VCT 2025: Americas Kickoff Main Event: 
						Lower Final",Sentinels,MIBR,3,0,Sentinels 3-0 MIBR
VCT 2025: China KickoffcompletedStatusTBDPrize PoolJan 10—25DatesRegion,,,"VCT 2025: China Kickoff Main Event: 
						Upper Round 1",Xi Lai Gaming,Wolves Esports,2,0,Xi Lai Gaming 2-0 Wolves Esports
VCT 2025: China KickoffcompletedStatusTBDPrize PoolJan 10—25DatesRegion,,,"VCT 2025: China Kickoff Main Event: 
						Upper Round 1",TYLOO,Titan Esports Club,0,0,TYLOO 0-0 Titan Esports Club
VCT 2025: China KickoffcompletedStatusTBDPrize PoolJan 10—25DatesRegion,,,"VCT 2025: China Kickoff Main Event: 
						Upper Round 1",JD Mall JDG Esports(JDG Esports),Dragon Ranger Gaming,1,0,JD Mall JDG Esports(JDG Esports) 1-0 Dragon Ranger Gaming
VCT 2025: China KickoffcompletedStatusTBDPrize PoolJan 10—25DatesRegion,,,"VCT 2025: China Kickoff Main Event: 
						Upper Round 1",All Gamers,Nova Esports,0,0,All Gamers 0-0 Nova Esports
VCT 2025: China KickoffcompletedStatusTBDPrize PoolJan 10—25DatesRegion,,,"VCT 2025: China Kickoff Main Event: 
						Upper Quarterfinals",Bilibili Gaming,Xi Lai Gaming,2,0,Bilibili Gaming 2-0 Xi Lai Gaming
VCT 2025: China KickoffcompletedStatusTBDPrize PoolJan 10—25DatesRegion,,,"VCT 2025: China Kickoff Main Event: 
						Upper Quarterfinals",FunPlus Phoenix,Titan Esports Club,2,0,FunPlus Phoenix 2-0 Titan Esports Club
VCT 2025: China KickoffcompletedStatusTBDPrize PoolJan 10—25DatesRegion,,,"VCT 2025: China Kickoff Main Event: 
						Upper Quarterfinals",Trace Esports,Dragon Ranger Gaming,2,0,Trace Esports 2-0 Dragon Ranger Gaming
VCT 2025: China KickoffcompletedStatusTBDPrize PoolJan 10—25DatesRegion,,,"VCT 2025: China Kickoff Main Event: 
						Upper Quarterfinals",EDward Gaming,Nova Esports,2,0,EDward Gaming 2-0 Nova Esports
VCT 2025: China KickoffcompletedStatusTBDPrize PoolJan 10—25DatesRegion,,,"VCT 2025: China Kickoff Main Event: 
						Upper Semifinals",Bilibili Gaming,FunPlus Phoenix,2,0,Bilibili Gaming 2-0 FunPlus Phoenix
VCT 2025: China KickoffcompletedStatusTBDPrize PoolJan 10—25DatesRegion,,,"VCT 2025: China Kickoff Main Event: 
						Upper Semifinals",Trace Esports,EDward Gaming,2,0,Trace Esports 2-0 EDward Gaming
VCT 2025: China KickoffcompletedStatusTBDPrize PoolJan 10—25DatesRegion,,,"VCT 2025: China Kickoff Main Event: 
						Upper Final",Bilibili Gaming,Trace Esports,1,0,Bilibili Gaming 1-0 Trace Esports
VCT 2025: China KickoffcompletedStatusTBDPrize PoolJan 10—25DatesRegion,,,"VCT 2025: China Kickoff Main Event: 
						Grand Final",Trace Esports,EDward Gaming,1,0,Trace Esports 1-0 EDward Gaming
VCT 2025: China KickoffcompletedStatusTBDPrize PoolJan 10—25DatesRegion,,,"VCT 2025: China Kickoff Main Event: 
						Lower Round 1",Nova Esports,Wolves Esports,2,0,Nova Esports 2-0 Wolves Esports
VCT 2025: China KickoffcompletedStatusTBDPrize PoolJan 10—25DatesRegion,,,"VCT 2025: China Kickoff Main Event: 
						Lower Round 1",Dragon Ranger Gaming,TYLOO,2,0,Dragon Ranger Gaming 2-0 TYLOO
VCT 2025: China KickoffcompletedStatusTBDPrize PoolJan 10—25DatesRegion,,,"VCT 2025: China Kickoff Main Event: 
						Lower Round 1",Titan Esports Club,JD Mall JDG Esports(JDG Esports),0,0,Titan Esports Club 0-0 JD Mall JDG Esports(JDG Esports)
VCT 2025: China KickoffcompletedStatusTBDPrize PoolJan 10—25DatesRegion,,,"VCT 2025: China Kickoff Main Event: 
						Lower Round 1",Xi Lai Gaming,All Gamers,2,0,Xi Lai Gaming 2-0 All Gamers
VCT 2025: China KickoffcompletedStatusTBDPrize PoolJan 10—25DatesRegion,,,"VCT 2025: China Kickoff Main Event: 
						Lower Round 2",Nova Esports,Dragon Ranger Gaming,0,0,Nova Esports 0-0 Dragon Ranger Gaming
VCT 2025: China KickoffcompletedStatusTBDPrize PoolJan 10—25DatesRegion,,,"VCT 2025: China Kickoff Main Event: 
						Lower Round 2",JD Mall JDG Esports(JDG Esports),Xi Lai Gaming,1,0,JD Mall JDG Esports(JDG Esports) 1-0 Xi Lai Gaming
VCT 2025: China KickoffcompletedStatusTBDPrize PoolJan 10—25DatesRegion,,,"VCT 2025: China Kickoff Main Event: 
						Lower Round 3",FunPlus Phoenix,Dragon Ranger Gaming,1,0,FunPlus Phoenix 1-0 Dragon Ranger Gaming
VCT 2025: China KickoffcompletedStatusTBDPrize PoolJan 10—25DatesRegion,,,"VCT 2025: China Kickoff Main Event: 
						Lower Round 3",EDward Gaming,Xi Lai Gaming,2,0,EDward Gaming 2-0 Xi Lai Gaming
VCT 2025: China KickoffcompletedStatusTBDPrize PoolJan 10—25DatesRegion,,,"VCT 2025: China Kickoff Main Event: 
						Lower Round 4",Dragon Ranger Gaming,EDward Gaming,0,0,Dragon Ranger Gaming 0-0 EDward Gaming
VCT 2025: China KickoffcompletedStatusTBDPrize PoolJan 10—25DatesRegion,,,"VCT 2025: China Kickoff Main Event: 
						Lower Final",Bilibili Gaming,EDward Gaming,0,0,Bilibili Gaming 0-0 EDward Gaming
